"","Year","County","mean_yield_per_county","Average_rainfall_received"
"1",2014,"Kakamega",3.07125454545455,60.3031111111111
"2",2014,"Siaya",2.5193023255814,49.5994444444444
"3",2015,"Kakamega",3.53592672413793,55.6654166666667
"4",2015,"Kericho",4.514,39.8655277777778
"5",2015,"Siaya",2.85924369747899,51.6066666666667
"6",2016,"Kakamega",3.03938461538462,48.6660277777778
"7",2016,"Kericho",3.48888888888889,41.6848333333333
"8",2016,"Kitui",0.159275362318841,15.4048055555556
"9",2016,"Makueni",0.165,17.3731388888889
"10",2016,"Siaya",1.80355223880597,37.9855555555556
"11",2017,"Kakamega",3.05299242424242,58.0413611111111
"12",2017,"Kericho",4.99161764705882,44.8673333333333
"13",2017,"Kitui",0.0968376068376068,11.7913333333333
"14",2017,"Siaya",2.21616104868914,50.3166666666667
"15",2018,"Bomet",3.04531914893617,45.9857777777778
"16",2018,"Embu",2.02564102564103,56.0640555555556
"17",2018,"Kakamega",3.34443037974684,61.2271666666667
"18",2018,"Kericho",3.60039855072464,53.5750277777778
"19",2018,"Kitui",0.119741697416974,25.8088333333333
"20",2018,"Makueni",0.276666666666667,29.0473333333333
"21",2018,"Nyeri",1.94028571428571,49.6183888888889
"22",2018,"Siaya",3.74117117117117,49.1294444444444
"23",2019,"Bomet",1.94614084507042,43.6859166666667
"24",2019,"Embu",2.206484375,51.9106666666667
"25",2019,"Kakamega",3.79328445747801,62.4986944444444
"26",2019,"Kericho",4.5096875,45.5248333333333
"27",2019,"Kirinyaga",2.16375,46.2436666666667
"28",2019,"Kitui",1.45463022508039,22.5070277777778
"29",2019,"Makueni",0.813858271375465,24.2077777777778
"30",2019,"Nyeri",3.327625,40.9416944444444
"31",2019,"Siaya",2.23187050359712,56.1138888888889
"32",2019,"Wajir",4.33,12.9314444444444
"33",2020,"Kericho",3.57152941176471,52.7975555555556
